timestamp,date,style,ticker,signal,event,price,entry,stop,tp1,tp2,tp3,gain_pct,trade_id
2026-07-02T15:00:17+07:00,2026-07-02,Intraday,MAPI,BUY,SL,1517,1525,1517,1541,,,-0.54,Intraday::MAPI::20260702022348
2026-07-02T15:00:17+07:00,2026-07-02,Intraday,BSSR,BUY,TP2,4030,3990,4020,4020,4030,4040,1.0,Intraday::BSSR::20260702101815
2026-07-02T15:33:17+07:00,2026-07-02,Intraday,BSSR,BUY,SL,4020,3990,4020,4020,4030,4040,0.75,Intraday::BSSR::20260702101815
2026-07-03T09:01:11+07:00,2026-07-03,Intraday,AMRT,BUY,SL,1383,1395,1383,1418,1440,1445,-0.83,Intraday::AMRT::20260702094515
2026-07-03T09:34:11+07:00,2026-07-03,Intraday,BIRD,BUY,TP2,1530,1485,1501,1501,1530,1560,3.03,Intraday::BIRD::20260702022348
2026-07-03T11:13:13+07:00,2026-07-03,Intraday,INDF,BUY,OPEN,6900,6900,6861,6975,7025,7050,0.0,Intraday::INDF::20260703111313
2026-07-06T14:05:29+07:00,2026-07-06,Swing Trading,ASGR,BUY,TP1,1569,1475,1475,1569,1585,1650,6.37,Swing Trading::ASGR::20260702022323
2026-07-06T14:43:33+07:00,2026-07-06,Swing Trading,ASGR,BUY,TP2,1585,1475,1569,1569,1585,1650,7.46,Swing Trading::ASGR::20260702022323
2026-07-06T14:46:08+07:00,2026-07-06,Swing Trading,ASGR,BUY,SL,1569,1475,1569,1569,1585,1650,6.37,Swing Trading::ASGR::20260702022323
2026-07-06T14:55:09+07:00,2026-07-06,Swing Trading,HATM,BUY,OPEN,436,436,399,510,,,0.0,Swing Trading::HATM::20260706145509
2026-07-06T15:30:41+07:00,2026-07-06,Long Term,ADES,BUY,OPEN,32500,32500,30015,37470,,,0.0,Long Term::ADES::20260706153041
2026-07-06T15:42:46+07:00,2026-07-06,Swing Trading,LFLO,BUY,OPEN,620,620,604,652,760,770,0.0,Swing Trading::LFLO::20260706154246
2026-07-06T23:38:09+07:00,2026-07-06,Swing Trading,LFLO,BUY,SL,604,620,604,652,760,770,-2.57,Swing Trading::LFLO::20260706154246
2026-07-06T23:38:09+07:00,2026-07-06,Swing Trading,BSML,BUY,OPEN,525,525,502,571,,,0.0,Swing Trading::BSML::20260706233809
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,HATM,BUY,SL,399,436,399,510,,,-8.43,Swing Trading::HATM::20260706145509
